"FIPS","Metropolitan Area","Industry Code","Industry","Component Code","Component","2006"
"17020","Chico, CA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,4876
"17140","Cincinnati-Middletown, OH-KY-IN (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,81199
"17300","Clarksville, TN-KY (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,7229
"17420","Cleveland, TN (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3035
"17460","Cleveland-Elyria-Mentor, OH (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,87787
"17660","Coeur d'Alene, ID (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3329
"17780","College Station-Bryan, TX (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,4762
"17820","Colorado Springs, CO (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,19346
"17860","Columbia, MO (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,4883
"17900","Columbia, SC (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,24311
"17980","Columbus, GA-AL (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,8591
"18020","Columbus, IN (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3439
"18140","Columbus, OH (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,75001
"18580","Corpus Christi, TX (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,11310
"18700","Corvallis, OR (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3937
"19060","Cumberland, MD-WV (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,1958
"19100","Dallas-Fort Worth-Arlington, TX (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,298788
"19140","Dalton, GA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,5488
"19180","Danville, IL (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,1885
"19260","Danville, VA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,2427
"19340","Davenport-Moline-Rock Island, IA-IL (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,13281
"19380","Dayton, OH (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,29950
"19460","Decatur, AL (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,4270
"19500","Decatur, IL (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,4171
"19660","Deltona-Daytona Beach-Ormond Beach, FL (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,10492
"19740","Denver-Aurora-Broomfield, CO (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,121410
"19780","Des Moines-West Des Moines, IA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,27322
"19820","Detroit-Warren-Livonia, MI (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,182859
"20020","Dothan, AL (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3877
"20100","Dover, DE (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,4801
"20220","Dubuque, IA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3548
"20260","Duluth, MN-WI (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,7778
"20500","Durham-Chapel Hill, NC (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,26505
"20740","Eau Claire, WI (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,5024
"20940","El Centro, CA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3141
"21060","Elizabethtown, KY (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3648
"21140","Elkhart-Goshen, IN (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,9519
"21300","Elmira, NY (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,2248
"21340","El Paso, TX (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,19835
"21500","Erie, PA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,7630
"21660","Eugene-Springfield, OR (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,9657
"21780","Evansville, IN-KY (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,13111
"21820","Fairbanks, AK (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3709
"22020","Fargo, ND-MN (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,7717
"22140","Farmington, NM (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,4080
"22180","Fayetteville, NC (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,10887
"22220","Fayetteville-Springdale-Rogers, AR-MO (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,14103
"22380","Flagstaff, AZ (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3461
"22420","Flint, MI (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,11535
"22500","Florence, SC (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,5836
"22520","Florence-Muscle Shoals, AL (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3105
"22540","Fond du Lac, WI (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3128
"22660","Fort Collins-Loveland, CO (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,9042
"22900","Fort Smith, AR-OK (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,8169
"23020","Fort Walton Beach-Crestview-Destin, FL (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,7701
"23060","Fort Wayne, IN (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,14636
"23420","Fresno, CA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,23008
"23460","Gadsden, AL (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,2136
"23540","Gainesville, FL (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,7578
"23580","Gainesville, GA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,5222
"24020","Glens Falls, NY (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3052
"24140","Goldsboro, NC (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3021
"24220","Grand Forks, ND-MN (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,2852
"24300","Grand Junction, CO (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3493
"24340","Grand Rapids-Wyoming, MI (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,29275
"24500","Great Falls, MT (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,2172
"24540","Greeley, CO (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,5429
"24580","Green Bay, WI (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,11813
"24660","Greensboro-High Point, NC (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,28265
"24780","Greenville, NC (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,4605
"24860","Greenville-Mauldin-Easley, SC (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,20437
"25060","Gulfport-Biloxi, MS (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,7303
"25180","Hagerstown-Martinsburg, MD-WV (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,6537
"25260","Hanford-Corcoran, CA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,2907
"25420","Harrisburg-Carlisle, PA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,22266
"25500","Harrisonburg, VA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,4426
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,59804
"25620","Hattiesburg, MS (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3641
"25860","Hickory-Lenoir-Morganton, NC (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,10644
"25980","Hinesville-Fort Stewart, GA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,1969
"26100","Holland-Grand Haven, MI (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,8366
"26180","Honolulu, HI (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,37329
"26300","Hot Springs, AR (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,2150
"26380","Houma-Bayou Cane-Thibodaux, LA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,6590
"26420","Houston-Sugar Land-Baytown, TX (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,266821
"26580","Huntington-Ashland, WV-KY-OH (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,6998
"26620","Huntsville, AL (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,15979
"26820","Idaho Falls, ID (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,2867
"26900","Indianapolis-Carmel, IN (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,78702
"26980","Iowa City, IA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,5406
"27060","Ithaca, NY (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,2946
"27100","Jackson, MI (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,4146
"27140","Jackson, MS (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,18356
"27180","Jackson, TN (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3819
"27260","Jacksonville, FL (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,49855
"27340","Jacksonville, NC (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,4283
"27500","Janesville, WI (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,4602
"27620","Jefferson City, MO (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,4524
"27740","Johnson City, TN (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,4973
"27780","Johnstown, PA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3117
"27860","Jonesboro, AR (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3052
"27900","Joplin, MO (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,4518
"28020","Kalamazoo-Portage, MI (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,9851
"28100","Kankakee-Bradley, IL (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,2428
"28140","Kansas City, MO-KS (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,83414
"28420","Kennewick-Pasco-Richland, WA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,6623
"28660","Killeen-Temple-Fort Hood, TX (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,9633
"28700","Kingsport-Bristol-Bristol, TN-VA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,7996
"28740","Kingston, NY (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3903
"28940","Knoxville, TN (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,24631
"29020","Kokomo, IN (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,4182
"29100","La Crosse, WI-MN (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,4220
"29140","Lafayette, IN (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,6016
"29180","Lafayette, LA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,11057
"29340","Lake Charles, LA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,8041
"29420","Lake Havasu City-Kingman, AZ (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3104
"29460","Lakeland-Winter Haven, FL (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,13460
"29540","Lancaster, PA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,15750
"29620","Lansing-East Lansing, MI (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,15745
"29700","Laredo, TX (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,4353
"29740","Las Cruces, NM (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3920
"29820","Las Vegas-Paradise, NV (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,76961
"29940","Lawrence, KS (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,2772
"30020","Lawton, OK (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3043
"30140","Lebanon, PA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,2820
