"FIPS","Metropolitan Area","Industry Code","Industry","Component Code","Component","2006" 
"19260","Danville, VA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,22866 
"19340","Davenport-Moline-Rock Island, IA-IL (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,35519 
"19380","Dayton, OH (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,35614 
"19460","Decatur, AL (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,28895 
"19500","Decatur, IL (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,38236 
"19660","Deltona-Daytona Beach-Ormond Beach, FL (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,21195 
"19740","Denver-Aurora-Broomfield, CO (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,50522 
"19780","Des Moines-West Des Moines, IA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,51101 
"19820","Detroit-Warren-Livonia, MI (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,40757 
"20020","Dothan, AL (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,28203 
"20100","Dover, DE (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,32542 
"20220","Dubuque, IA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,38817 
"20260","Duluth, MN-WI (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,28422 
"20500","Durham-Chapel Hill, NC (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,56740 
"20740","Eau Claire, WI (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,32201 
"20940","El Centro, CA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,20009 
"21060","Elizabethtown, KY (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,32982 
"21140","Elkhart-Goshen, IN (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,48482 
"21300","Elmira, NY (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,25521 
"21340","El Paso, TX (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,27455 
"21500","Erie, PA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,27285 
"21660","Eugene-Springfield, OR (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,28451 
"21780","Evansville, IN-KY (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,37611 
"21820","Fairbanks, AK (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,39118 
"22020","Fargo, ND-MN (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,40842 
"22140","Farmington, NM (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,33549 
"22180","Fayetteville, NC (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,31279 
"22220","Fayetteville-Springdale-Rogers, AR-MO (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,33385 
"22380","Flagstaff, AZ (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,27472 
"22420","Flint, MI (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,26370 
"22500","Florence, SC (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,29534 
"22520","Florence-Muscle Shoals, AL (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,21810 
"22540","Fond du Lac, WI (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,31707 
"22660","Fort Collins-Loveland, CO (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,32185 
"22900","Fort Smith, AR-OK (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,28573 
"23020","Fort Walton Beach-Crestview-Destin, FL (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,42119 
"23060","Fort Wayne, IN (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,36076 
"23420","Fresno, CA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,26081 
"23460","Gadsden, AL (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,20788 
"23540","Gainesville, FL (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,29964 
"23580","Gainesville, GA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,30458 
"24020","Glens Falls, NY (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,23842 
"24140","Goldsboro, NC (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,26826 
"24220","Grand Forks, ND-MN (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,29189 
"24300","Grand Junction, CO (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,26092 
"24340","Grand Rapids-Wyoming, MI (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,37957 
"24500","Great Falls, MT (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,26538 
"24540","Greeley, CO (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,23132 
"24580","Green Bay, WI (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,39599 
"24660","Greensboro-High Point, NC (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,41290 
"24780","Greenville, NC (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,27342 
"24860","Greenville-Mauldin-Easley, SC (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,34090 
"25060","Gulfport-Biloxi, MS (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,32144 
"25180","Hagerstown-Martinsburg, MD-WV (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,25549 
"25260","Hanford-Corcoran, CA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,19949 
"25420","Harrisburg-Carlisle, PA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,42484 
"25500","Harrisonburg, VA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,38134 
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,50541 
"25620","Hattiesburg, MS (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,26957 
"25860","Hickory-Lenoir-Morganton, NC (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,29880 
"25980","Hinesville-Fort Stewart, GA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,27550 
"26100","Holland-Grand Haven, MI (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,32614 
"26180","Honolulu, HI (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,41287 
"26300","Hot Springs, AR (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,22598 
"26380","Houma-Bayou Cane-Thibodaux, LA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,32817 
"26420","Houston-Sugar Land-Baytown, TX (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,48641 
"26580","Huntington-Ashland, WV-KY-OH (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,24620 
"26620","Huntsville, AL (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,42302 
"26820","Idaho Falls, ID (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,24873 
"26900","Indianapolis-Carmel, IN (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,47177 
"26980","Iowa City, IA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,37468 
"27060","Ithaca, NY (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,29437 
"27100","Jackson, MI (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,25453 
"27140","Jackson, MS (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,34600 
"27180","Jackson, TN (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,34098 
"27260","Jacksonville, FL (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,39056 
"27340","Jacksonville, NC (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,26619 
"27500","Janesville, WI (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,29118 
"27620","Jefferson City, MO (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,31310 
"27740","Johnson City, TN (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,26004 
"27780","Johnstown, PA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,21361 
"27860","Jonesboro, AR (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,26663 
"27900","Joplin, MO (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,26839 
"28020","Kalamazoo-Portage, MI (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,30647 
"28100","Kankakee-Bradley, IL (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,22088 
"28140","Kansas City, MO-KS (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,42595 
"28420","Kennewick-Pasco-Richland, WA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,29719 
"28660","Killeen-Temple-Fort Hood, TX (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,26917 
"28700","Kingsport-Bristol-Bristol, TN-VA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,26532 
"28740","Kingston, NY (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,21484 
"28940","Knoxville, TN (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,36789 
"29020","Kokomo, IN (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,41855 
"29100","La Crosse, WI-MN (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,32512 
"29140","Lafayette, IN (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,31949 
"29180","Lafayette, LA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,43468 
"29340","Lake Charles, LA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,42122 
"29420","Lake Havasu City-Kingman, AZ (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,16121 
"29460","Lakeland-Winter Haven, FL (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,24175 
"29540","Lancaster, PA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,31926 
"29620","Lansing-East Lansing, MI (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,34570 
"29700","Laredo, TX (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,19224 
"29740","Las Cruces, NM (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,20263 
"29820","Las Vegas-Paradise, NV (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,43464 
"29940","Lawrence, KS (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,24630 
"30020","Lawton, OK (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,27108 
"30140","Lebanon, PA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,22310 
"30300","Lewiston, ID-WA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,24380 
"30340","Lewiston-Auburn, ME (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,27752 
"30460","Lexington-Fayette, KY (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,44477 
"30620","Lima, OH (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,35194 
"30700","Lincoln, NE (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,38333 
"30780","Little Rock-North Little Rock-Conway, AR (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,38104 
"30860","Logan, UT-ID (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,20227 
"30980","Longview, TX (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,32817 
"31020","Longview, WA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,24380 
"31100","Los Angeles-Long Beach-Santa Ana, CA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,46935 
"31140","Louisville-Jefferson County, KY-IN (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,38656 
"31180","Lubbock, TX (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,28549 
"31340","Lynchburg, VA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,29039 
"31420","Macon, GA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,28100 
"31460","Madera-Chowchilla, CA (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,19573 
"31540","Madison, WI (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,48986 
"31700","Manchester-Nashua, NH (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,43975 
"31740","Manhattan, KS (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,28458 
"31860","Mankato-North Mankato, MN (MSA)",1,"All industry total",1000,Per capita real GDP by Metropolitan Area (chained 2001 dollars) ,35971 
